district_code,district_name,block_mandal_code,block_mandal_name,villages,polygon_features,area_sq_km,area_acres,min_lon,min_lat,max_lon,max_lat
04,MEDAK,0426,ANDOLE,27,27,183.132854405455,45253.11384703081,77.94279989564345,17.758352400837886,78.11622247916212,17.921990084435674
04,MEDAK,0423,CHEGUNTA,29,29,203.492581972199,50284.11209397865,78.39898775004363,17.892230719950636,78.58754832880511,18.078486852957973
04,MEDAK,0417,CHINNAKODUR,23,23,249.108933159635,61556.1579552902,78.77609472461215,18.10148365106725,79.01418354756616,18.260883802558016
04,MEDAK,0422,DOULTABAD,32,32,230.599826039883,56982.457979847255,78.52712412904114,17.834383587232015,78.6882879076986,18.046244088270587
04,MEDAK,0414,DUBBAK,26,26,237.279862683151,58633.13098279663,78.54292971351782,18.099553226060117,78.75814312455933,18.256419526908964
04,MEDAK,0421,GAJWEL,25,25,193.099096023384,47715.82578382309,78.58375896570142,17.790566722696497,78.77751631901184,17.972195397181046
04,MEDAK,0440,HATHNOORA,34,34,200.044717142906,49432.12614008898,78.10587996472115,17.633216167737146,78.31503468489228,17.839289659154108
04,MEDAK,0420,JAGDEVPUR,28,28,212.521281775743,52515.15240308591,78.71454156291367,17.70249546410189,78.87818548207025,17.87956659803477
04,MEDAK,0429,JHARASANGAM,35,35,216.05829755616,53389.168036761235,77.61736277433944,17.66087852321351,77.80337990934503,17.83225857676492
04,MEDAK,0439,JINNARAM,29,29,217.91631766227,53848.294803855206,78.22490843018576,17.536438308374045,78.4537948094297,17.74857495313036
04,MEDAK,0403,KALHER,25,25,211.203017380189,52189.40217674795,77.70119395462844,18.050055971746037,77.93564578014227,18.20752753842042
04,MEDAK,0402,KANGTI,33,33,265.674474849571,65649.59245379207,77.56359641862778,18.097987099009245,77.74722124261022,18.285487951014343
04,MEDAK,0431,KOHIR,23,23,228.094105742339,56363.281009872626,77.59493001470908,17.508691611731543,77.7923454360812,17.707333565289197
04,MEDAK,0419,KONDAPAK,21,21,223.75199744374999,55290.32268237805,78.73060944979073,17.871897040289518,78.96145805733063,18.0596692971521
04,MEDAK,0435,KONDAPUR,23,23,152.1466214801,37596.24893978052,77.93390421463747,17.449239461738753,78.07589882299149,17.615417005580767
04,MEDAK,0425,KOWDIPALLE,35,35,228.088434730685,56361.87967237456,78.0748634651534,17.788679090931364,78.3022124886875,17.932431676036103
04,MEDAK,0410,KULCHARAM,21,21,162.922958864015,40259.13989985171,78.05724276331426,17.902964989686406,78.28954904588485,18.01868671795783
04,MEDAK,0401,MANOOR,45,45,303.5627878088,75011.99848072969,77.54788176673237,17.877997128451184,77.83231185337873,18.124611261551003
04,MEDAK,0411,MEDAK,39,39,329.767312967921,81487.27766634022,78.15178206217854,17.97346565879815,78.37140498819365,18.217228824543923
04,MEDAK,0415,MIRDODDI,17,17,161.951573590072,40019.10537118244,78.56813798370854,17.99845606309799,78.7295669309492,18.15147204098592
04,MEDAK,0445,MULUG,27,27,193.89674606127602,47912.92940071369,78.49437352780137,17.667826041630025,78.78791960547424,17.773611130130252
04,MEDAK,0432,MUNPALLE,33,33,278.13394869752597,68728.39549187115,77.71811063158937,17.614275348096207,77.94484988291228,17.93299912002483
04,MEDAK,0418,NANGNOOR,21,21,181.883847168141,44944.47743719908,78.91019467488522,18.003004870592704,79.12660465378386,18.134208320719623
04,MEDAK,0404,NARAYANKHED,36,36,220.923250281558,54591.32403579043,77.66129184623728,17.965815971254543,77.92972786390592,18.130440201840344
04,MEDAK,0441,NARSAPUR,35,35,179.772135712719,44422.66217245845,78.16344597311513,17.660307843682475,78.32867162462527,17.842584509993003
04,MEDAK,0428,NYALKAL,39,39,252.992679109451,62515.852479741035,77.50645168110441,17.743938609004008,77.70980418546671,17.953341254502874
04,MEDAK,0409,PAPANNAPET,26,26,181.806452888169,44925.35289412322,78.00018061263285,17.96080687018618,78.21124651914671,18.093532946627104
04,MEDAK,0437,PATANCHERU,26,26,220.866168911931,54577.218922174085,78.13714943751795,17.464025334063148,78.3500080438948,17.627039145245323
04,MEDAK,0433,PULKAL,30,30,232.68460731257,57497.61865151018,77.90263124560973,17.649492150014364,78.15331207589054,17.812299272798217
04,MEDAK,0427,RAIKODE,37,37,171.898224966363,42476.97645384173,77.66499484643727,17.765526195308766,77.87543166394042,17.91916984850371
04,MEDAK,0413,RAMAYAMPET,24,24,236.42912489962,58422.909098268676,78.30444975507625,18.024974460868876,78.58039784647369,18.203112255102884
04,MEDAK,0438,RAMCHANDRAPURAM,10,10,74.168887958119,18327.531351886442,78.21337567813165,17.428067841719436,78.31754856026942,17.526901403889934
04,MEDAK,0405,REGODE,25,25,123.530059402025,30524.942451198982,77.79394304067826,17.822691537404012,77.9510582033773,18.022053293168675
04,MEDAK,0434,SADASIVPET,32,34,259.01559306190103,64004.14692950511,77.85721683591494,17.56153524382932,78.088921471519,17.74472094889528
04,MEDAK,0436,SANGAREDDY,30,31,213.753442185212,52819.62587109648,78.04191205094693,17.483126858370547,78.23059384116547,17.669059103180913
04,MEDAK,0412,SHANKARAMPET (R),20,20,159.041399550307,39299.985704950464,78.32088260224478,17.909729310749075,78.45897531376096,18.094490710645594
04,MEDAK,0406,SHANKARAMPET[A],26,26,147.88778378423,36543.867226335824,77.85251976702696,17.983014170522075,78.01040237637535,18.115560708919777
04,MEDAK,0442,SHIVAMPET,27,27,203.93630661252502,50393.75884049278,78.29415039083712,17.701001132700565,78.45030863722586,17.883806562296478
04,MEDAK,0416,SIDDIPET,25,25,268.29677340032697,66297.57653749741,78.71717843775718,18.03832380828034,78.92532421584025,18.262623382909645
04,MEDAK,0408,TEKMAL,20,20,150.346751821058,37151.49146109177,77.96835506439996,17.870637456496148,78.09767015577918,18.069931269946125
04,MEDAK,0415,THOGUTA,1,1,19.128211847991,4726.684085482568,78.7140157369463,18.04594145471763,78.75974373244568,18.105697788571387
04,MEDAK,0446,THOGUTA,15,15,165.636302946424,40929.62182438706,78.6420421126329,17.935498321436175,78.81964538091486,18.069906676052977
04,MEDAK,0443,TUPRAN,35,35,189.88797325799501,46922.34006794375,78.42294300697043,17.68818779247556,78.56234399488858,17.8969928413501
04,MEDAK,0444,WARGAL,24,24,165.990500078215,41017.145841752856,78.51512158118423,17.738942578254548,78.71781205912994,17.845346847206873
04,MEDAK,0424,YELDURTHY,22,22,208.031852555498,51405.79028304743,78.2507659016216,17.845337203140677,78.48244242453694,17.98575624189481
04,MEDAK,0430,ZAHIRABAD,39,40,398.552299184634,98484.41792463479,77.4431083880763,17.54237761184876,77.71000833358768,17.7480228747122
08,NALGONDA,0805,ALAIR,14,14,187.301569450256,46283.22576840427,78.99232342861535,17.545660194001012,79.16738659624575,17.726180448641525
08,NALGONDA,0851,ANUMULA,27,27,289.12492626443,71444.32519623803,79.19739859568931,16.655499509062935,79.4354431041867,16.921685631237363
08,NALGONDA,0814,ATMAKUR (M),21,21,247.154827239134,61073.28786637755,79.0339041183835,17.353962784868312,79.25582780977507,17.562320629919153
08,NALGONDA,0810,ATMAKUR (S),20,20,209.683667704385,51813.96269552639,79.59598162102235,17.176250149653576,79.81507710231772,17.315989023760746
08,NALGONDA,0816,BHONGIR,30,30,267.992162785589,66222.30561534363,78.81730079785457,17.36900519780905,79.04669708753774,17.584584646154276
08,NALGONDA,0817,BIBINAGAR,25,25,181.675235162993,44892.928288088355,78.7055557774697,17.38397199996868,78.92505743889319,17.534231662519396
